ID;CD_CEP;NM_LOGRADOURO;ID_BAIRRO
4319;23370100;RUA BUZIOS;26926
4320;23370200;RUA CAMPO ALTO;26926
4321;23370300;RUA GUARAPUA;26926
4322;23370400;RUA BARRA MANSA;26926
4323;23370500;RUA TELES PEIXOTO;26926
4324;23370600;RUA JAPIRA;26926
4325;23370700;RUA ITAGUA;26926
4326;23370800;RUA PADRE LUCIANO;26926
4327;23370900;RUA DR WALDIR DIAS CARVALHO;26926
4328;23371000;RUA JAPOATA;26926
4329;23371100;RUA MANUEL PASSOS;26926
4330;23380000;RUA SANTO ADALBERTO;26926
4331;23380100;RUA ARAUCARIA;26926
4332;23380200;PRAÇA GECIDIO FONSECA;26926
4333;23380300;RUA ABREU LEMOS;26926
4334;23380400;PRAÇA MONSENHOR MACEDO;26926
4335;23380500;RUA MARAMBA;1246
4336;23380600;RUA ALMEIDA MAIA;26926
4337;23380700;RUA SAO ZEFERINO;26926
4338;23380800;RUA HORIZONTINA;26926
4339;23380900;RUA DIOGO CARNEIRO;1246
4340;23381000;RUA DIOLANDIA;26926
4341;23381100;PRAÇA JOAO DE MORAES SETUBAL;26926
4342;23381200;PRAÇA NOVAIS MORELLI;26926
4343;23390000;RUA CAREACU;26926
4344;23390100;RUA CONCEICAO DO ARROIO;26926
4345;23390200;RUA GAURAMA;26926
4346;23390300;RUA GUARILANDIA;26926
4347;23390400;RUA AGUA COMPRIDA;26926
4348;23390500;RUA JABOTICATUBAS;26926
4349;23390600;RUA SARDINHA DA SILVEIRA;26926
4350;23390700;PRAÇA CEL.-POLICIA MILITAR FERNAO GUEDES DE SOUZA;26926
4351;23390800;PRAÇA MACIEL BAIAO;26926
4352;23390900;PRAÇA MARIANO DE LIMA;26926
4353;23391000;RUA PROF. CARLOS BRUNETTI;26926
4354;23400000;AVENIDA NOVA CANTAREIRA;28149
4355;23400010;AVENIDA NOVA CANTAREIRA;28149
4356;23400020;AVENIDA NOVA CANTAREIRA;28149
4357;23400100;RUA AIMUTONG;28149
4358;23400200;TRAVESSA ABACATE;28149
4359;23400300;PRAÇA BONS OLHOS;28149
4360;23400400;RUA BANANEIRA DA MANGUEIRA;28149
4361;23400450;PRAÇA LAGOA DOS PATOS;28149
4362;23400500;RUA CORONEL AGOSTINHO DA FONSECA;28149
4363;23400600;RUA AMELIA MONTESANO CAPUANO;28149
4364;23400700;ESTRADA DO COLEGIO;6135
4365;23400800;RUA MANOEL TARNOVSCHI;6135
4366;23400900;TRAVESSA ANTONIO CRISTOVAM FERNANDES JR;28612
4367;23410000;AVENIDA NOVA CANTAREIRA;28149
4368;23410010;AVENIDA NOVA CANTAREIRA;28149
4369;23410020;AVENIDA NOVA CANTAREIRA;28149
4370;23410100;TRAVESSA FRANCISCO DORIA DE ANDRADE;28149
4371;23410200;TRAVESSA MORRO DO FERRO;28149
4372;23420000;RUA DO ALTO;28149
4373;23420100;RUA VISTA GERAL;28149
4374;23420200;RUA COSTA E AZEVEDO;28149
4375;23420300;RUA FRANCISCO ALVARES;28149
4376;23420400;RUA PATAIBA;28149
4377;23420500;TRAVESSA AFRODITE;28149
4378;23420600;TRAVESSA MACAMBIRA;28149
4379;23420700;RUA MACAMBIRA;28149
4380;23420800;RUA CARLOS GOMES;28149
4381;23420900;RUA DOS AMERINDIOS;28149
4382;23421000;RUA VASCONCELOS;28149
4383;23421100;RUA ITANHANGA;28149
4384;23421200;RUA DAMIAO FERNANDES;28149
4385;23421300;RUA NESTOR TEIXEIRA FORTE;28149
4386;23421400;TRAVESSA BACO;28149
4387;23421450;VIELA BENIM;28149
4388;23421500;RUA BERNARDO VASCONCELOS;28149
4389;23421600;TRAVESSA ESTEVAO ARCE;28149
4390;23421700;TRAVESSA MARIO ANTONIO CORREIA;28149
4391;23421800;TRAVESSA RENE VICTOR VERNAGLIA;28149
4392;23421900;RUA TEODORO HORST;28149
4393;23422000;TRAVESSA LIERNA;28149
4394;23430000;RUA DR HENRIQUE MEYER;28234
4395;23430100;PRAÇA DR LEVEM VAMPRE;28234
4396;23430200;RUA JOAO GUALBERTO DE ALMEIDA PIRES;28234
4397;23430300;RUA MERE MARIE AMAIS DE SION;28234
4398;23430400;RUA ZENY AZEVEDO CORDEIRO;28234
4399;23430500;RUA MAESTRO ZACARIAS AUTUORI;28234
