id;CD_CEP;ID_BAIRRO;NM_LOGRADOURO
9483;2996000;28021;ANTONIO DE CABEZON
9484;2996010;28021;ATILIO BRUGNOLI
9485;2996020;28021;BATISTA CERRUTI
9486;2996030;28021;BELTRAME FERAGUT
9487;2996040;28021;BONAVENTURA VIVIANI
9488;2996050;28021;CANUTO BEREA
9489;2996060;28021;CECIL SHARP
9490;2996070;28021;CIRIACO JIMENEZ
9491;2996080;28021;DOMENICO MONTELLA
9492;2996090;28021;GIACOMO MORO
9493;2996100;28021;BAQUILIRES
9494;2996110;28021;GIOVANI ANCINA
9495;2996130;28021;BLAS PARERA
9496;2997000;23139;ANTONIO INACIO TORRES
9497;2997010;23139;CANDIDO NAZARE
9498;2997020;23139;AURELIO LINHARES
9499;2997030;23139;ANTONIO SILVA CASTRO
9500;2997040;23139;ANTONIO CRUZ CORDEIRO
9501;2997050;28175;DA ENCOSTA
9502;2997060;23139;ARTUR ROCHA
9503;2997070;28175;DO ALTO
9504;2997200;24303;DR JOSE MANIERO
9505;2998000;28859;NELSON PALMA TRAVASSOS
9506;2998010;28859;PROF. AFFONSO JOSE FIORAVANTE
9507;2998020;24303;AMADOR AGUIAR
9508;2998030;24303;PROF. NOBIL MARCACINI
9509;2998040;24303;PROF. ONESIMO SILVEIRA
9510;2998050;28859;PROF. MIGUEL FRANCHINI NETO
9511;2998060;24303;JAIRO DE ALMEIDA MACHADO
9512;2998070;28859;NOSSA SENHORA DA PAZ
9513;2998080;27729;CAMILO ZANOTTI
9514;2998090;27729;CLAUDIO SANTORO
9515;2998100;27729;GILIO EREMITA
9516;2998110;27729;DOM PEDRO GASTAO
9517;2998120;27729;SAMUEL BOVY
9518;2998130;27729;VISCONDE DE LUCEIA
9519;2998369;27729;MANUEL CARREIRA MIGUEL
9520;2999000;24303;DA CACHOEIRA
9521;3001000;8396;RANGEL PESTANA
9522;3001003;8396;COSTA NEVES
9523;3001005;8396;MAESTRO ALBERTO MARINO
9524;3002000;8396;RANGEL PESTANA
9525;3002010;8396;AGENTE CICERO
9526;3003000;8396;DA FIGUEIRA
9527;3003010;8396;MARIA DOMITILA
9528;3003020;8396;MONSENHOR ANACLETO
9529;3003030;8396;PIRES RAMOS
9530;3003040;8396;QUEIROGA
9531;3003050;8396;VASCO DA GAMA
9532;3003060;8396;CIVICA ULISSES GUIMARAES
9533;3004000;8396;DO GASOMETRO
9534;3004001;8396;DO GASOMETRO
9535;3004005;8396;VITALINO LAZZARI
9536;3004007;8396;DO BRAS
9537;3004010;8396;JAIRO GOIS
9538;3004020;8396;OIAPOQUE
9539;3005000;8396;DO LUCAS
